Model year,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2026,8.4,6.7,7.6,37,179,6,4
2026,7.8,5.9,6.9,41,162,6,6
2026,7.5,5.9,6.8,42,158,6,6
2026,4.8,4.5,4.7,60,110,8,6
2026,11.8,8.6,10.4,27,244,5,2
2026,11.0,8.1,9.7,29,227,5,2
2026,8.4,6.7,7.6,37,179,6,6
2026,8.1,6.8,7.5,38,177,6,6
2026,9.4,8.4,9.0,31,211,5,6
2026,9.0,8.1,8.6,33,201,5,6
2026,8.8,8.1,8.5,33,198,5,6
2026,13.4,10.0,11.9,24,279,4,6
2026,14.3,10.6,12.7,22,298,4,6
2026,8.3,7.9,8.1,35,189,6,6
2026,13.1,9.3,11.4,25,267,4,6
2026,13.1,9.5,11.5,25,270,4,6
2026,12.4,8.7,10.7,26,251,4,6
2026,12.7,9.3,11.2,25,262,4,6
2026,6.9,7.0,6.9,41,163,6,6
2026,10.1,7.3,8.8,32,207,5,4
2026,9.9,7.0,8.6,33,203,5,6
2026,5.3,4.6,5.0,56,117,8,6
2026,9.7,7.7,8.8,32,207,5,6
2026,6.7,6.7,6.7,42,157,6,6
2026,7.9,6.9,7.5,38,177,6,4
2026,16.0,13.7,15.0,19,349,3,5
2026,16.9,14.8,16.0,18,372,2,5
2026,16.0,13.7,15.0,19,349,3,5
2026,16.9,14.8,16.0,18,372,2,5
2026,16.9,14.8,16.0,18,372,2,5
2026,16.9,14.8,16.0,18,372,2,5
2026,16.9,14.8,16.0,18,372,2,5
2026,16.9,14.8,16.0,18,372,2,5
2026,10.9,8.7,9.9,29,233,5,5
2026,15.0,12.3,13.8,20,325,3,5
2026,10.8,8.8,9.9,29,234,5,6
2026,12.5,9.4,11.1,25,260,4,6
2026,15.7,11.4,13.8,20,323,3,2
2026,10.0,7.5,8.9,32,208,5,6
2026,11.6,10.2,11.0,26,258,4,6
2026,13.9,10.2,12.2,23,287,4,6
2026,11.9,10.5,11.3,25,265,4,6
2026,13.4,10.1,11.9,24,280,4,6
2026,14.3,10.5,12.6,22,296,4,6
2026,13.0,9.3,11.3,25,266,4,6
2026,6.9,7.5,7.2,39,169,6,6
2026,4.5,5.2,4.8,59,112,8,6
2026,4.5,4.4,4.4,64,104,8,6
2026,8.3,6.8,7.6,37,179,6,6
2026,9.7,8.6,9.2,31,217,5,6
2026,8.8,7.5,8.2,34,192,6,6
2026,11.5,8.7,10.3,27,241,5,6
2026,10.2,8.5,9.4,30,222,5,6
2026,7.2,6.7,7.0,40,164,6,6
2026,9.3,7.0,8.3,34,194,6,6
2026,9.9,7.8,8.9,32,210,5,6
2026,6.7,6.6,6.7,42,156,6,6
2026,13.1,11.4,12.3,23,289,4,6
2026,16.2,12.4,14.5,19,342,3,2
2026,13.1,10.6,12.0,24,281,4,6
2026,16.9,12.8,15.1,19,357,2,2
2026,15.8,12.1,14.2,20,332,3,5
2026,17.0,12.5,14.9,19,353,3,2
2026,12.2,9.9,11.2,25,262,4,6
2026,13.6,10.3,12.1,23,284,4,6
2026,12.7,10.0,11.5,25,271,4,6
2026,14.5,10.2,12.6,22,296,4,5
2026,15.2,10.8,13.2,21,311,3,5
2026,15.0,10.3,12.9,22,303,3,5
2026,15.2,10.8,13.2,21,311,3,5
2026,14.5,10.2,12.6,22,296,4,5
2026,15.0,10.8,13.1,22,309,3,5
2026,11.9,8.8,10.5,27,247,4,6
2026,10.9,8.9,10.0,28,237,5,6
2026,12.1,9.0,10.7,26,253,4,6
2026,12.6,9.4,11.1,25,261,4,6
2026,15.3,11.2,13.5,21,315,3,4
